,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (C),Wind Speed(kmph)
0,albany,90,US,2020-01-04 02:00:24,86,42.65,-73.75,5.149999999999977,0.9656039999999999
1,vaini,19,IN,2020-01-04 02:04:26,34,15.34,74.49,27.149999999999977,4.9889540000000006
2,sitges,0,ES,2020-01-04 02:04:26,80,41.24,1.82,9.04000000000002,9.977908000000001
3,beyneu,28,KZ,2020-01-04 02:04:26,61,45.32,55.19,-1.5299999999999727,2.9772790000000002
4,norman wells,40,CA,2020-01-04 02:04:26,74,65.28,-126.83,-30.849999999999994,2.41401
5,islampur,63,IN,2020-01-04 02:04:26,38,17.05,74.27,25.480000000000018,2.6232241999999997
6,bambous virieux,75,MU,2020-01-04 02:04:26,83,-20.34,57.76,27.930000000000007,6.598293999999999
7,punta arenas,75,CL,2020-01-04 02:04:26,81,-53.16,-70.91,8.149999999999977,9.977908000000001
8,krsko,20,SI,2020-01-04 02:04:27,92,45.96,15.49,-0.9599999999999795,1.60934
9,mahebourg,75,MU,2020-01-04 02:04:27,83,-20.41,57.7,27.930000000000007,6.598293999999999
10,champasak,40,LA,2020-01-04 02:04:27,43,14.89,105.88,32.14999999999998,4.9889540000000006
11,huilong,96,CN,2020-01-04 01:56:05,57,31.15,106.5,11.569999999999993,3.1703997999999998
12,sinegorsk,0,RU,2020-01-04 02:04:27,77,44.77,38.34,2.3700000000000045,0.724203
13,port blair,20,IN,2020-01-04 02:04:27,74,11.67,92.75,30.149999999999977,7.402963999999999
14,balabac,53,PH,2020-01-04 02:04:27,73,7.99,117.06,28.670000000000016,13.2931484
15,rikitea,97,PF,2020-01-04 02:04:27,79,-23.12,-134.97,25.920000000000016,8.8352766
16,cidreira,12,BR,2020-01-04 02:04:27,80,-30.17,-50.22,22.5,16.3830812
17,avarua,16,CK,2020-01-04 02:04:27,83,-21.21,-159.78,25.149999999999977,4.9889540000000006
18,salekhard,100,RU,2020-01-04 02:04:28,97,66.54,66.62,-16.45999999999998,2.6393176
19,atuona,4,PF,2020-01-04 02:04:28,74,-9.8,-139.03,27.19999999999999,11.6516216
20,codrington,0,AU,2020-01-04 02:04:28,49,-28.95,153.24,35.14999999999998,14.001257999999998
21,busselton,13,AU,2020-01-04 02:00:06,15,-33.64,115.35,25.149999999999977,13.2609616
22,mataura,65,NZ,2020-01-04 02:04:28,66,-46.19,168.86,11.259999999999991,8.6260624
23,sarkand,97,KZ,2020-01-04 02:04:28,77,45.41,79.91,-4.2099999999999795,0.5954558
24,jamestown,0,AU,2020-01-04 02:04:28,40,-33.21,138.6,25.20999999999998,13.759857
25,ushuaia,75,AR,2020-01-04 02:04:28,70,-54.81,-68.31,8.149999999999977,10.782578
26,vao,40,EE,2020-01-04 01:59:18,78,59.1,26.19,1.579999999999984,9.3502654
27,honningsvag,99,NO,2020-01-04 01:59:19,80,70.98,25.97,0.6399999999999864,25.298824800000002
28,east london,75,ZA,2020-01-04 01:58:10,100,-33.02,27.91,25.149999999999977,3.379614
29,pozo colorado,7,PY,2020-01-04 02:04:29,57,-23.49,-58.8,22.339999999999975,3.6532018
30,moron,22,HT,2020-01-04 02:04:29,84,18.56,-74.26,24.610000000000014,1.046071
31,bad waldsee,90,DE,2020-01-04 02:04:29,93,47.92,9.75,6.149999999999977,1.60934
32,puerto ayora,37,EC,2020-01-04 02:04:29,84,-0.74,-90.35,23.480000000000018,1.4323126
33,tasiilaq,100,GL,2020-01-04 01:56:03,41,65.61,-37.64,-4.850000000000023,11.587248
34,khatanga,100,RU,2020-01-04 02:04:29,97,71.98,102.47,-19.319999999999993,3.9589764
35,hithadhoo,30,MV,2020-01-04 01:59:16,68,-0.6,73.08,28.54000000000002,2.7036911999999997
36,madimba,40,CM,2020-01-04 02:04:29,94,4.42,9.93,25.149999999999977,0.80467
37,mar del plata,6,AR,2020-01-04 01:57:08,41,-46.43,-67.52,15.620000000000005,9.816974
38,urdoma,100,RU,2020-01-04 02:04:29,91,61.74,48.55,0.4800000000000182,8.9640238
39,jumla,11,NP,2020-01-04 02:04:30,59,29.28,82.18,1.3600000000000136,2.9450922
40,tuatapere,61,NZ,2020-01-04 02:04:30,66,-46.13,167.69,11.259999999999991,8.6260624
41,port alfred,96,ZA,2020-01-04 02:04:30,98,-33.59,26.89,21.819999999999993,8.0627934
42,kawalu,88,ID,2020-01-04 02:04:30,72,-7.38,108.21,27.74000000000001,4.345218
43,alekseyevskaya,0,RU,2020-01-04 02:04:30,74,45.77,40.15,0.14999999999997726,4.425685
44,chuy,0,UY,2020-01-04 01:59:15,83,-33.69,-53.46,18.189999999999998,5.3751956
45,arraial do cabo,68,BR,2020-01-04 02:05:30,83,-22.97,-42.02,24.430000000000007,11.522874400000001
46,gamba,48,CN,2020-01-04 02:05:30,49,28.28,88.52,-10.199999999999989,5.7292504
47,zigong,75,CN,2020-01-04 02:05:30,56,29.34,104.78,11.560000000000002,0.9495106
48,hilo,1,US,2020-01-04 02:05:30,83,19.71,-155.08,22.149999999999977,3.379614
49,banda aceh,0,ID,2020-01-04 02:05:31,54,5.56,95.32,31.569999999999993,7.161563
50,pisco,90,PE,2020-01-04 01:59:19,94,-13.71,-76.2,21.25999999999999,5.793624
51,pokhara,31,NP,2020-01-04 02:05:31,44,28.21,83.99,19.220000000000027,1.4162192
52,kangaatsiaq,100,GL,2020-01-04 02:05:31,82,68.31,-53.46,-5.100000000000023,7.322496999999999
53,nikolskoye,75,RU,2020-01-04 02:05:31,80,59.7,30.79,2.3700000000000045,6.43736
54,akonolinga,14,CM,2020-01-04 02:05:31,46,3.77,12.24,17.430000000000007,1.0299776
55,osterholz-scharmbeck,75,DE,2020-01-04 02:05:31,86,53.23,8.79,6.149999999999977,14.001257999999998
56,sinnamary,81,GF,2020-01-04 02:05:31,81,5.38,-52.96,26.600000000000023,10.1710288
57,huarmey,95,PE,2020-01-04 02:05:31,82,-10.07,-78.15,20.110000000000014,1.448406
58,galle,4,GN,2020-01-04 02:05:31,28,10.08,-12.83,18.310000000000002,2.3657298
59,juegang,100,CN,2020-01-04 02:05:31,77,32.31,121.18,10.149999999999977,0.724203
60,kununurra,49,AU,2020-01-04 01:56:01,39,-15.77,128.74,36.14999999999998,8.207633999999999
61,barrow,0,AR,2020-01-04 02:05:32,67,-38.31,-60.23,19.55000000000001,11.2492866
62,new norfolk,75,AU,2020-01-04 02:05:32,23,-42.78,147.06,17.370000000000005,14.966862
63,sioux lookout,90,CA,2020-01-04 02:05:32,92,50.1,-91.92,-7.850000000000023,2.41401
64,zambezi,100,ZM,2020-01-04 02:05:32,84,-13.55,23.12,21.189999999999998,3.3957073999999996
65,narsaq,100,GL,2020-01-04 02:05:32,27,60.91,-46.05,2.1499999999999773,23.174496
66,nelson bay,0,AU,2020-01-04 01:59:16,21,-32.72,152.14,41.14999999999998,11.587248
67,bluff,10,AU,2020-01-04 01:56:01,22,-23.58,149.07,34.81,13.1804946
68,bom jardim,40,BR,2020-01-04 02:05:32,94,-7.8,-35.59,22.149999999999977,6.598293999999999
69,bethel,75,US,2020-01-04 02:05:32,76,60.79,-161.76,-21.849999999999994,7.402963999999999
70,mineiros,29,BR,2020-01-04 02:03:47,90,-17.57,-52.55,20.730000000000018,1.8990212
71,luderitz,0,NA,2020-01-04 02:05:32,72,-26.65,15.16,18.149999999999977,7.402963999999999
72,mwinilunga,100,ZM,2020-01-04 02:05:33,99,-11.73,24.43,17.110000000000014,2.6715044
73,kunming,75,CN,2020-01-04 02:05:33,59,25.04,102.71,17.370000000000005,17.70274
74,faanui,36,PF,2020-01-04 01:59:15,79,-16.48,-151.75,27.670000000000016,7.5799914
75,westport,90,US,2020-01-04 02:01:26,93,41.14,-73.36,8.480000000000018,2.3818232
76,hualmay,99,PE,2020-01-04 02:05:33,87,-11.1,-77.61,19.50999999999999,2.6071308
77,beloretsk,97,RU,2020-01-04 02:05:33,91,58.67,52.48,-1.1999999999999886,8.947930399999999
78,primorsk,60,RU,2020-01-04 02:05:33,72,60.37,28.62,0.7099999999999795,13.6632966
79,cape town,19,ZA,2020-01-04 02:05:33,82,-33.93,18.42,22.930000000000007,5.793624
80,hofn,100,IS,2020-01-04 02:05:33,66,64.25,-15.21,1.009999999999991,13.9046976
81,lazaro cardenas,0,MX,2020-01-04 02:05:34,77,28.39,-105.62,1.259999999999991,1.4323126
82,coquimbo,90,CL,2020-01-04 02:05:34,87,-29.95,-71.34,15.149999999999977,0.80467
83,pacific grove,1,US,2020-01-04 02:05:34,76,36.62,-121.92,11.259999999999991,4.9889540000000006
84,kruisfontein,89,ZA,2020-01-04 01:58:11,74,-34,24.73,23.060000000000002,4.0716301999999995
85,port lincoln,100,AU,2020-01-04 02:05:34,70,-34.72,135.86,16.50999999999999,10.605550599999999
86,khuzhir,22,RU,2020-01-04 02:05:34,73,53.19,107.35,-3.8700000000000045,7.1937498
87,ucluelet,99,CA,2020-01-04 02:03:54,88,48.94,-125.55,8.480000000000018,3.6049216000000004
88,terre haute,90,US,2020-01-04 02:05:34,100,39.47,-87.41,4.0400000000000205,4.184284
89,san patricio,0,PY,2020-01-04 02:05:34,74,-26.98,-56.83,20.920000000000016,4.2808444
90,hermanus,0,ZA,2020-01-04 02:05:34,70,-34.42,19.24,22.930000000000007,6.5500138
91,saldanha,2,PT,2020-01-04 02:06:34,92,41.42,-6.55,2.5,2.5105704
92,katsuura,40,JP,2020-01-04 02:06:35,54,33.93,134.5,13.480000000000018,10.782578
93,sao joao da barra,100,BR,2020-01-04 02:05:04,88,-21.64,-41.05,23.560000000000002,4.0877236
94,ponta do sol,100,BR,2020-01-04 02:06:35,97,-20.63,-46,19.439999999999998,1.0943512
95,sistranda,40,NO,2020-01-04 02:06:35,63,63.73,8.83,3.480000000000018,23.174496
96,salta,75,AR,2020-01-04 02:06:35,73,-24.79,-65.41,22.149999999999977,3.379614
97,bismarck,1,US,2020-01-04 02:02:03,92,46.81,-100.78,-9.29000000000002,3.6853886
98,tuktoyaktuk,40,CA,2020-01-04 02:06:35,75,69.44,-133.03,-28.849999999999994,10.782578
99,hobart,75,AU,2020-01-04 02:06:35,23,-42.88,147.33,17.370000000000005,14.966862
100,torbay,40,CA,2020-01-04 02:06:35,86,47.66,-52.73,0.14999999999997726,12.391918
101,parfenyevo,100,RU,2020-01-04 02:06:35,90,58.48,43.41,-0.9700000000000273,8.690436
102,oranjemund,8,ZA,2020-01-04 02:06:36,75,-28.55,16.43,17.269999999999982,5.63269
103,chaiya,0,IN,2020-01-04 02:06:36,35,29.28,74.48,18.54000000000002,3.1703997999999998
104,severo-kurilsk,100,RU,2020-01-04 01:59:18,80,50.68,156.12,-3.6999999999999886,16.527921799999998
105,hopkinsville,90,US,2020-01-04 02:06:36,93,36.87,-87.49,9.149999999999977,7.402963999999999
106,sandnessjoen,100,NO,2020-01-04 02:06:36,74,66.02,12.63,2.1499999999999773,19.794882
107,kapaa,75,US,2020-01-04 02:06:36,78,22.08,-159.32,24.149999999999977,14.001257999999998
108,saint-philippe,90,CA,2020-01-04 02:06:36,93,45.36,-73.48,4.149999999999977,2.7841582
109,isangel,75,VU,2020-01-04 01:59:20,58,-19.55,169.27,29.149999999999977,5.793624
110,cabo san lucas,5,MX,2020-01-04 02:04:31,59,22.89,-109.91,17.930000000000007,8.207633999999999
111,grand gaube,75,MU,2020-01-04 02:06:37,83,-20.01,57.66,27.930000000000007,6.598293999999999
112,airai,100,TL,2020-01-04 02:06:37,87,-8.93,125.41,20.870000000000005,3.3474272000000003
113,pokrovskoye,49,RU,2020-01-04 02:06:37,87,47.41,38.9,0.5699999999999932,5.3430088
114,shingu,75,JP,2020-01-04 02:06:37,46,33.72,135.99,12.149999999999977,11.587248
115,butaritari,100,KI,2020-01-04 02:06:37,77,3.07,172.79,28.810000000000002,8.85137
116,svetlaya,0,RU,2020-01-04 02:06:37,45,46.54,138.33,-6.970000000000027,5.7292504
117,nuuk,98,GL,2020-01-04 02:06:37,85,64.17,-51.74,-5.850000000000023,7.402963999999999
118,qaqortoq,100,GL,2020-01-04 02:06:37,27,60.72,-46.03,2.1499999999999773,23.174496
119,cockburn town,58,TC,2020-01-04 02:06:38,76,21.46,-71.14,26.44999999999999,12.9069068
120,oksfjord,75,NO,2020-01-04 02:06:38,92,70.24,22.35,0.14999999999997726,5.793624
121,fukue,75,JP,2020-01-04 02:06:38,53,35.03,136.69,12.370000000000005,6.598293999999999
122,raudeberg,75,NO,2020-01-04 02:06:38,74,61.99,5.14,3.1499999999999773,22.369826
123,lantawan,40,PH,2020-01-04 02:06:38,66,10.62,123.98,30.149999999999977,10.782578
124,upata,0,VE,2020-01-04 02:06:38,97,8.02,-62.41,19.170000000000016,2.4783836
125,hasaki,75,JP,2020-01-04 02:06:38,49,35.73,140.83,11.149999999999977,3.379614
126,acapulco,40,MX,2020-01-04 01:58:12,83,16.86,-99.88,25.149999999999977,2.41401
127,kavieng,98,PG,2020-01-04 02:06:38,67,-2.57,150.8,29.74000000000001,2.5427572
128,port elizabeth,90,US,2020-01-04 02:06:38,100,39.31,-74.98,10.70999999999998,2.41401
129,naze,88,NG,2020-01-04 01:57:10,28,5.43,7.07,21.839999999999975,6.0672118
130,esperance,34,AU,2020-01-04 02:06:38,43,-33.86,121.89,21.149999999999977,13.196587999999998
131,floro,75,NO,2020-01-04 02:06:39,74,61.6,5.03,3.1499999999999773,22.369826
132,uchiza,87,PE,2020-01-04 02:06:39,93,-8.46,-76.46,18.360000000000014,2.011675
133,sitka,6,US,2020-01-04 02:06:39,72,37.17,-99.65,0.14999999999997726,5.8901844
134,evensk,100,RU,2020-01-04 02:06:39,64,61.92,159.24,-11.910000000000025,7.612178200000001
135,provideniya,9,RU,2020-01-04 02:06:39,75,64.42,-173.23,-25.539999999999992,6.4051732
136,pitimbu,75,BR,2020-01-04 02:07:39,88,-7.47,-34.81,25.149999999999977,3.0094658
137,iwaki,75,JP,2020-01-04 02:07:39,51,37.05,140.89,10.70999999999998,9.173238
138,thinadhoo,26,MV,2020-01-04 02:03:18,63,0.53,72.93,28.600000000000023,0.45061520000000005
139,itarema,100,BR,2020-01-04 02:07:39,90,-2.92,-39.92,25.649999999999977,1.9955816
140,flinders,32,AU,2020-01-04 02:07:39,28,-34.58,150.85,36.14999999999998,8.207633999999999
141,sibolga,37,ID,2020-01-04 02:07:39,50,1.74,98.78,32.589999999999975,2.1243288000000002
142,san jose,24,HN,2020-01-04 02:07:40,84,14.25,-87.96,16.20999999999998,1.3196588
143,chernenko,74,UA,2020-01-04 02:07:40,85,47.23,37.74,3.8899999999999864,10.3480562
144,zomin,100,UZ,2020-01-04 02:07:40,61,39.96,68.4,6.220000000000027,3.1543064
145,guarapuava,61,BR,2020-01-04 02:07:40,91,-25.4,-51.46,14.70999999999998,4.8602068
146,henties bay,70,NA,2020-01-04 02:07:40,87,-22.12,14.28,17.930000000000007,2.8807186000000002
147,komsomolskiy,99,RU,2020-01-04 02:07:41,95,67.55,63.78,-8.120000000000005,8.9962106
148,saskylakh,94,RU,2020-01-04 02:07:41,97,71.97,114.09,-27.919999999999987,4.9567672
149,jiayuguan,73,CN,2020-01-04 02:07:41,31,39.77,98.29,-0.4399999999999977,8.368568
150,nago,9,IT,2020-01-04 02:07:41,92,45.88,10.89,3.480000000000018,4.184284
151,port macquarie,0,AU,2020-01-04 02:05:26,27,-31.43,152.91,37.14999999999998,13.196587999999998
152,banff,71,CA,2020-01-04 02:07:41,47,51.18,-115.57,6.819999999999993,15.8198122
153,san quintin,0,PH,2020-01-04 02:07:41,55,17.54,120.52,28.829999999999984,4.82802
154,nanortalik,100,GL,2020-01-04 02:07:41,87,60.14,-45.24,-2.509999999999991,4.473965199999999
155,tombouctou,7,ML,2020-01-04 02:07:41,32,16.77,-3.01,11.370000000000005,8.207633999999999
156,tessalit,23,ML,2020-01-04 02:07:41,41,20.2,1.01,9.25,11.1366328
157,beringovskiy,0,RU,2020-01-04 02:07:42,75,63.05,179.32,-22.25999999999999,12.633319
158,coihaique,0,CL,2020-01-04 02:07:42,96,-45.58,-72.07,3.2099999999999795,4.7958332
159,the valley,20,AI,2020-01-04 02:07:42,78,18.22,-63.06,26.149999999999977,4.9889540000000006
160,chokurdakh,38,RU,2020-01-04 02:07:42,99,70.62,147.9,-28.879999999999995,2.3979166
161,batagay-alyta,0,RU,2020-01-04 02:07:42,98,67.8,130.41,-31.460000000000008,3.2991469999999996
162,thessalon,90,CA,2020-01-04 02:07:42,86,46.26,-83.55,-0.8500000000000227,2.7519714
163,tocopilla,8,CL,2020-01-04 02:07:42,48,-22.09,-70.2,13.310000000000002,2.4944770000000003
164,lasa,20,CY,2020-01-04 02:07:42,76,34.92,32.53,11.149999999999977,3.379614
165,yumen,0,CN,2020-01-04 02:07:42,46,40.29,97.04,-2.660000000000025,2.1565156
166,serowe,10,BW,2020-01-04 02:07:42,37,-22.4,26.7,27.899999999999977,8.2720076
167,ringkobing,81,DK,2020-01-04 02:07:43,93,56.09,8.24,7.149999999999977,9.173238
168,dzilam gonzalez,100,MX,2020-01-04 02:07:43,81,21.28,-88.93,23.910000000000025,9.028397400000001
169,bredasdorp,4,ZA,2020-01-04 02:07:43,68,-34.53,20.04,22.149999999999977,4.9889540000000006
170,san rafael,0,AR,2020-01-04 02:07:43,35,-34.61,-68.33,27.100000000000023,10.1066552
171,russell,20,US,2020-01-04 02:07:43,63,38.9,-98.86,1.259999999999991,4.9889540000000006
172,verkhnevilyuysk,100,RU,2020-01-04 02:07:43,97,63.45,120.31,-24.22,4.7314596
173,lima,75,PE,2020-01-04 02:07:41,88,-12.06,-77.04,22.149999999999977,7.402963999999999
174,dikson,5,RU,2020-01-04 02:07:44,94,73.51,80.55,-24.039999999999992,8.8835568
175,kungurtug,0,RU,2020-01-04 01:59:17,80,50.6,97.53,-12.449999999999989,1.7380872
176,trebon,100,CZ,2020-01-04 02:07:44,90,49,14.77,3.480000000000018,5.037234199999999
177,atasu,82,KZ,2020-01-04 02:07:44,89,48.68,71.64,-5.970000000000027,3.0416526
178,bilma,5,NE,2020-01-04 02:08:44,57,18.69,12.92,7.170000000000016,8.7226228
179,muzhi,100,RU,2020-01-04 02:08:44,96,65.4,64.7,-10.819999999999993,2.6232241999999997
